order_id,customer_id,order_date
152,87,2025-04-19
153,84,2025-01-11
154,83,2024-11-15
155,13,2024-10-31
156,8,2024-10-11
157,52,2024-12-27
158,94,2024-11-04
159,44,2024-12-22
160,14,2024-06-28
161,32,2024-12-15
162,25,2024-07-21
163,25,2024-05-19
164,69,2024-09-25
165,58,2024-12-20
166,18,2024-09-14
167,55,2024-12-11
168,24,2024-12-18
169,36,2025-02-16
170,60,2024-07-08
171,32,2024-08-19
172,10,2025-03-22
173,57,2025-03-10
174,71,2024-08-15
175,13,2024-10-25
176,7,2024-05-11
177,84,2025-01-03
178,70,2024-09-02
179,2,2024-09-03
180,12,2024-10-27
181,97,2024-11-15
182,31,2025-03-09
183,22,2025-02-20
184,53,2024-10-18
185,63,2024-08-08
186,62,2024-09-28
187,28,2024-08-16
188,52,2025-05-04
189,8,2025-05-05
190,22,2024-07-29
191,49,2025-05-03
192,1,2024-12-18
193,50,2024-10-26
194,34,2024-06-17
195,59,2024-10-01
196,37,2025-01-08
197,55,2024-06-05
198,90,2024-09-16
199,94,2024-09-09
200,72,2024-08-02
201,85,2024-08-22
202,92,2024-07-18
203,63,2024-12-28
204,20,2024-10-28
205,25,2025-03-18
206,38,2024-05-09
207,28,2025-01-03
208,8,2025-04-09
209,75,2024-06-26
210,95,2024-12-02
211,70,2025-01-07
212,8,2024-11-16
213,96,2025-03-18
214,41,2025-02-15
215,8,2025-04-23
216,7,2025-01-26
217,75,2024-05-15
218,62,2024-05-31
219,65,2025-04-23
220,68,2024-08-22
221,21,2024-06-07
222,8,2024-09-19
223,66,2024-09-03
224,11,2024-09-15
225,24,2024-07-17
226,9,2025-02-13
227,77,2024-06-05
228,9,2024-07-17
229,87,2024-12-28
230,31,2024-11-14
231,52,2024-09-23
232,16,2024-09-19
233,73,2024-10-02
234,32,2024-11-22
235,75,2024-11-18
236,77,2024-09-16
237,6,2024-07-05
238,80,2025-04-23
239,11,2024-05-15
240,54,2025-04-16
241,85,2025-02-11
242,75,2024-11-06
243,73,2024-12-12
244,67,2025-04-06
245,41,2025-01-11
246,34,2024-10-07
247,27,2024-06-12
248,86,2025-02-05
249,92,2024-10-22
250,41,2024-06-13
251,31,2025-02-03
252,34,2024-05-17
253,51,2025-03-23
254,17,2024-08-06
255,86,2024-08-05
256,83,2024-12-25
257,39,2025-04-09
258,59,2025-02-16
259,41,2024-10-06
260,97,2025-03-09
261,10,2024-12-31
262,2,2025-01-28
263,59,2025-02-09
264,80,2024-06-25
265,73,2024-09-28
266,13,2025-04-12
267,10,2025-03-07
268,69,2024-11-22
269,28,2024-07-16
270,65,2025-04-22
271,34,2024-06-29
272,17,2024-06-22
273,45,2025-03-11
274,9,2024-07-12
275,32,2024-12-06
276,48,2024-05-31
277,37,2024-11-21
278,21,2025-01-25
279,57,2024-06-28
280,70,2024-05-14
281,91,2024-12-15
282,39,2024-12-29
283,79,2025-01-18
284,84,2025-05-08
285,68,2024-10-10
286,2,2024-09-15
287,86,2024-10-22
288,71,2024-08-28
289,39,2024-07-01
290,85,2024-08-29
291,14,2025-01-16
292,18,2024-07-11
293,34,2024-10-28
294,15,2025-03-20
295,14,2025-03-12
296,96,2024-09-19
297,71,2025-01-25
298,20,2024-09-09
299,35,2024-11-16
300,37,2024-05-21
301,78,2025-05-02
302,27,2024-07-01
303,92,2025-03-21
304,44,2024-12-05
305,27,2024-12-27
306,88,2025-01-05
307,82,2025-04-06
308,34,2025-04-24
309,65,2025-02-10
310,63,2024-12-24
311,33,2025-04-01
312,7,2024-11-25
313,12,2024-09-11
314,82,2024-09-01
315,55,2024-11-17
316,36,2024-07-18
317,6,2024-12-15
318,1,2024-06-17
319,43,2024-06-12
320,99,2024-09-19
321,17,2024-07-25
322,82,2025-03-05
323,34,2025-04-10
324,21,2025-04-28
325,95,2024-06-29
326,57,2025-03-30
327,71,2024-06-11
328,91,2025-01-24
329,55,2025-04-22
330,72,2025-01-10
331,2,2025-01-26
332,15,2025-03-23
333,10,2025-01-01
334,89,2025-01-06
335,20,2024-06-26
336,70,2024-12-01
337,5,2024-11-27
338,48,2024-12-18
339,75,2024-05-08
340,71,2025-02-27
341,19,2025-03-20
342,56,2024-07-24
343,17,2025-04-21
344,6,2024-11-26
345,40,2024-09-03
346,47,2025-04-10
347,6,2024-08-03
348,46,2024-09-14
349,27,2024-09-01
350,88,2024-12-25
351,32,2025-03-13
352,86,2025-02-26
353,14,2024-06-16
354,46,2024-07-23
355,100,2024-08-02
356,72,2024-07-02
357,53,2024-06-29
358,80,2024-06-27
359,96,2025-03-24
360,20,2025-02-13
361,31,2024-07-31
362,21,2024-06-11
363,23,2024-06-21
364,53,2025-01-01
365,4,2024-05-23
366,23,2025-01-17
367,95,2024-06-09
368,43,2024-06-21
369,53,2024-12-16
370,86,2024-08-30
371,95,2025-05-07
372,32,2024-08-19
373,35,2025-03-07
374,21,2024-08-24
375,90,2024-12-02
376,14,2025-03-20
377,49,2025-04-28
378,5,2025-02-01
379,61,2024-07-02
380,29,2024-12-12
381,26,2024-06-03
382,59,2024-12-21
383,45,2024-06-30
384,40,2024-08-21
385,30,2024-09-01
386,29,2025-03-08
387,4,2024-07-16
388,85,2024-07-28
389,25,2024-06-20
390,52,2025-01-11
391,43,2024-11-14
392,36,2024-11-23
393,9,2024-12-14
394,99,2024-09-06
395,36,2024-05-28
396,45,2025-02-19
397,83,2024-06-12
398,66,2024-06-22
399,52,2025-03-11
400,87,2024-10-21
401,69,2024-07-03
402,43,2024-08-22
403,4,2024-08-31
404,15,2025-04-27
405,34,2024-05-09
406,23,2025-04-28
407,75,2024-08-03
408,34,2024-06-18
409,5,2025-01-28
410,14,2024-10-13
411,77,2025-02-28
412,56,2025-04-02
413,45,2024-12-10
414,94,2025-02-11
415,41,2025-04-19
416,56,2025-04-28
417,78,2025-04-14
418,66,2025-02-08
419,15,2024-08-24
420,50,2024-10-29
421,74,2025-03-26
422,25,2024-11-20
423,33,2025-03-02
424,6,2024-06-12
425,91,2025-02-04
426,56,2025-03-30
427,1,2024-09-14
428,67,2024-12-03
429,69,2024-11-08
430,88,2024-11-07
431,93,2024-09-21
432,95,2025-04-21
433,95,2025-03-19
434,86,2025-02-25
435,26,2024-12-08
436,47,2025-02-03
437,56,2024-09-18
438,9,2024-08-19
439,86,2024-12-21
440,43,2024-09-25
441,80,2024-10-18
442,41,2024-06-27
443,85,2024-10-25
444,16,2025-02-04
445,93,2024-09-09
446,39,2024-07-10
447,65,2025-02-13
448,40,2024-11-29
449,86,2025-03-14
450,53,2025-04-30
451,42,2024-11-11
452,52,2025-03-20
453,90,2024-12-01
454,38,2025-02-08
455,71,2025-03-21
456,17,2024-05-26
457,25,2024-05-16
458,54,2025-01-13
459,86,2024-05-10
460,49,2024-07-14
461,87,2024-07-07
462,96,2025-02-25
463,23,2024-11-15
464,79,2024-10-17
465,73,2024-06-18
466,39,2024-10-13
467,52,2024-05-20
468,71,2025-01-26
469,1,2024-11-10
470,39,2024-12-07
471,37,2024-09-04
472,27,2025-03-31
473,56,2024-06-21
474,75,2024-10-18
475,78,2024-09-12
476,84,2024-10-01
477,42,2025-04-29
478,60,2024-09-03
479,57,2024-10-05
480,57,2025-04-30
481,87,2025-02-05
482,28,2025-02-09
483,66,2024-11-08
484,61,2024-10-13
485,95,2024-09-20
486,22,2025-02-07
487,85,2024-12-18
488,11,2024-08-20
489,37,2024-07-26
490,66,2024-08-16
491,85,2024-12-28
492,82,2025-02-22
493,80,2024-11-22
494,43,2024-08-20
495,12,2024-09-18
496,97,2025-04-13
497,31,2024-11-14
498,87,2024-06-10
499,40,2025-04-04
500,29,2025-03-10
